,customerNo,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,order
0,1,1,6,5,39887.0,1,59.99,59.99,59.99,1,59.99,59.99,59.99,?,1,2,600,70,21,1,43,1,49,y
1,10,19,6,5,4714493.0,162,0.8,34.99,1445.19,15,1.99,19.99,147.82,?,1,2,600,464,24,2,32,2,276,y
2,100,252,7,5,3421154.0,42,5.99,159.99,1461.58,4,12.99,79.99,130.96,5,1,2,300,429,77,0,25,2,19,y
3,1000,2042,9,5,1947792.0,60,5.99,119.99,1066.74,7,9.99,19.99,113.59,5,1,2,4000,535,355,4,54,2,171,y
4,10000,20922,10,6,1506153.0,11,6.99,34.99,215.89,9,6.99,34.99,165.91,?,1,2,2500,505,134,9,43,2,118,y
5,10001,20925,10,6,2400864.0,14,1.0,19.99,177.88,6,1.0,19.99,68.95,5,1,2,4000,587,165,12,40,2,93,y
6,10002,20927,10,6,249494.0,14,7.99,14.99,113.89,1,9.99,9.99,9.99,?,?,?,800,578,54,6,34,2,11,n
7,10003,20929,10,6,577481.0,5,9.99,19.99,49.97,3,9.99,19.99,29.98,5,1,2,5500,530,350,30,63,1,8,y
8,10004,20932,10,6,4599953.0,58,2.99,79.95,1982.19,0,?,?,?,?,1,2,2100,521,105,9,53,2,34,n
9,10005,20934,10,6,249125.0,7,39.99,49.95,309.81,1,39.99,39.99,39.99,5,1,2,4000,536,71,12,50,1,6,y
10,10006,20937,10,6,3772358.0,42,7.0,19.99,490.62,5,7.0,12.99,50.96,5,1,2,600,440,45,11,63,2,25,y
11,10007,20938,10,6,764544.0,14,19.99,55.0,149.98,2,19.99,55.0,74.99,1,1,2,2600,548,216,11,48,2,11,n
12,10008,20939,10,6,673528.0,8,19.99,189.99,681.72,3,19.99,119.99,199.97,5,1,2,4000,548,59,80,49,1,3,y
13,10009,20948,10,6,361039.0,4,8.0,44.99,105.98,2,8.0,44.99,52.99,1,1,?,3000,484,111,10,37,1,65,n
14,1001,2046,9,5,736651.0,4,7.99,9.99,35.96,4,7.99,9.99,35.96,?,1,2,4000,541,213,3,50,2,80,y
15,10010,20951,10,6,8629101.0,60,3.99,79.99,1594.56,6,3.99,69.99,178.94,1,1,2,18000,530,109,84,39,2,4,y
16,10011,20952,10,6,1821486.0,60,12.99,24.99,1018.47,5,14.99,24.99,99.95,?,1,2,1900,572,122,8,30,2,10,y
17,10012,20955,10,6,187088.0,1,299.99,299.99,299.99,1,299.99,299.99,299.99,5,1,2,600,468,30,5,61,2,4,y
18,10013,20956,10,6,4110841.0,95,1.0,34.99,1354.29,5,5.0,29.99,90.96,?,1,2,2700,463,222,13,38,2,229,y
19,10014,20958,10,6,995801.0,34,4.99,24.99,309.83,4,4.99,24.99,44.97,?,1,2,600,508,29,9,56,1,9,y
20,10015,20961,10,6,306046.0,12,9.99,17.99,133.91,4,14.99,17.99,32.98,5,1,2,40000,530,123,404,44,1,4,y
21,10016,20962,10,6,294871.0,8,29.99,29.99,119.96,2,29.99,29.99,59.98,5,1,2,300,70,10,1,27,1,27,y
22,10017,20963,10,6,1849389.0,72,24.99,135.0,1344.69,3,24.99,79.95,129.93,?,1,2,1000,571,168,3,36,2,57,y
23,10018,20964,10,6,277.38,3,59.99,59.99,179.97,1,59.99,59.99,59.99,4,1,2,0,386,33,3,35,1,204,n
24,10019,20966,10,6,374.94,19,4.99,49.99,207.89,19,4.99,49.99,207.89,5,0,2,600,465,160,4,37,2,298,y
25,1002,2048,9,5,1091317.0,29,6.0,24.99,288.82,6,9.99,24.99,89.94,?,1,2,4000,530,56,17,33,2,38,y
26,10020,20967,10,6,1861189.0,7,499.99,499.99,2999.94,2,499.99,499.99,999.98,?,1,2,600,454,34,10,22,1,165,y
27,10021,20968,10,6,3161339.0,61,19.0,199.95,2291.57,2,29.99,119.99,149.98,?,1,2,600,70,182,0,36,2,313,y
28,10022,20969,10,6,969935.0,4,221.73,221.73,665.19,1,221.73,221.73,221.73,?,1,2,600,587,26,2,46,1,208,y
29,10023,20970,10,6,751097.0,20,5.0,19.0,223.83,4,9.99,16.99,49.96,5,1,2,1500,485,74,12,46,1,43,y
30,10024,20976,10,6,1256753.0,15,9.99,34.99,371.85,3,9.99,34.99,79.97,?,1,2,600,508,198,2,53,2,22,y
31,10025,20977,10,6,1461546.0,9,339.99,339.99,3059.91,3,339.99,339.99,1019.97,?,1,2,800,561,7,2,40,2,219,n
32,10026,20979,10,6,774309.0,6,6.99,32.95,117.9,6,6.99,32.95,117.9,5,1,2,3000,587,158,3,54,2,5,y
33,10027,20982,10,6,66392.0,3,89.99,89.99,179.98,1,89.99,89.99,89.99,3,1,2,3500,529,175,15,33,2,4,n
34,10028,20984,10,6,5594734.0,103,3.0,40.0,1179.8,6,5.0,20.0,62.0,?,1,2,4000,543,28,9,34,2,18,y
35,10029,20985,10,6,871131.0,17,39.95,49.99,249.9,2,39.99,39.99,79.98,5,1,2,300,501,84,20,36,2,6,y
36,1003,2049,9,5,374527.0,2,39.99,39.99,79.98,1,39.99,39.99,39.99,1,1,2,1900,500,165,7,36,2,198,n
37,10030,20987,10,6,159694.0,3,24.99,24.99,74.97,0,?,?,?,5,1,2,?,?,?,0,24,1,5,n
38,10031,20990,10,6,753462.0,23,9.99,699.99,3285.77,4,9.99,449.99,500.96,5,1,2,300,499,2,2,75,1,8,y
39,10032,20991,10,6,143613.0,2,14.99,14.99,29.98,1,14.99,14.99,14.99,?,1,2,600,505,10,10,24,1,18,n
40,10033,20992,10,6,0.0,18,14.99,49.99,404.79,18,14.99,49.99,404.79,?,?,?,3000,523,158,9,39,1,78,y
41,10034,20993,10,6,1351363.0,53,4.99,24.99,591.8,3,4.99,9.99,22.97,?,1,2,3000,496,55,21,33,1,19,y
42,10035,20996,10,6,561187.0,8,7.99,12.99,74.92,6,7.99,12.99,58.94,1,1,2,1000,473,70,6,40,2,66,n
43,10036,20997,10,6,44192.0,3,24.99,24.99,49.98,1,24.99,24.99,24.99,?,?,?,3000,552,128,4,32,2,210,n
44,10037,20999,10,6,569459.0,14,159.99,209.99,2456.89,1,179.0,179.0,179.0,2,1,2,?,?,?,0,31,1,6,n
45,10038,21000,10,6,1924937.0,23,12.0,144.99,1648.86,1,12.0,12.0,12.0,5,1,2,7000,505,167,20,44,2,21,y
46,10039,21002,10,6,1218686.0,4,29.99,29.99,89.97,1,29.99,29.99,29.99,?,1,2,300,569,4,1,41,1,128,y
47,1004,2054,9,5,885528.0,13,299.99,499.99,3099.92,1,399.99,399.99,399.99,5,1,2,4000,566,110,10,50,1,15,y
48,10040,21003,10,6,401.59,1,39.99,39.99,39.99,1,39.99,39.99,39.99,2,1,2,600,546,27,5,34,2,117,n
49,10041,21004,10,6,2288422.0,39,3.99,27.99,539.69,7,8.99,27.99,121.93,4,1,2,1300,492,77,16,35,2,24,y
