,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,onlineStatus,availability,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,bStep_count,countLog,modes,diffCounts,durCount,order
19,20,6,5,7647.51,11,49.99,499.99,2199.91,1,49.99,49.99,49.99,1,1,-1,1400,568,136,11,58,2,61,5,8,4,10,695.2281818181818,0
20,21,6,5,152401.0,3,14.99,14.99,44.97,1,14.99,14.99,14.99,5,1,2,2500,540,222,34,51,2,23,3,6,1,2,50800.333333333336,1
27,28,6,5,660644.0,23,14.99,33.99,617.77,3,24.99,29.99,84.97,5,1,2,600,427,141,8,31,2,109,3,9,1,20,28723.652173913044,1
31,32,6,5,454355.0,5,139.99,139.99,699.95,1,139.99,139.99,139.99,5,1,2,500,499,2,1,53,2,22,5,13,2,4,90871.0,1
39,40,6,5,584185.0,13,14.99,79.99,294.91,1,29.99,29.99,29.99,1,1,-1,5000,535,220,14,68,1,12,0,9,1,12,44937.307692307695,0
46,47,6,5,24327.0,1,12.99,12.99,12.99,1,12.99,12.99,12.99,1,1,-1,600,512,36,7,35,2,59,0,2,1,0,24327.0,0
57,58,6,5,2230275.0,46,24.99,79.95,1643.53,6,24.99,71.96,261.91,1,1,-1,200,70,92,1,43,2,493,0,15,1,40,48484.239130434784,0
68,69,6,5,397896.0,10,19.99,19.99,159.92,2,19.99,19.99,39.98,5,1,2,1400,520,209,2,44,2,220,4,8,3,8,39789.6,1
98,99,6,5,261047.0,6,16.99,18.99,107.94,2,16.99,18.99,35.98,1,1,-1,2300,527,51,15,29,2,11,0,4,1,4,43507.833333333336,0
113,114,6,5,18583.0,1,199.99,199.99,199.99,1,199.99,199.99,199.99,1,1,-1,600,501,15,6,50,1,40,0,2,1,0,18583.0,0
133,134,6,5,320127.0,5,12.99,14.99,68.95,3,12.99,14.99,40.97,5,1,2,1300,522,223,12,56,2,34,5,15,2,2,64025.4,1
